,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87
0,-189.63077,132.40451,13.272498,50.39092,-5.3128643,14.892886,-1.9108359,0.95594645,-4.0739636,2.0760775,-9.4213,-2.3551247,4.224712,1.5175307,1.2853413,-2.818963,5.188099,-3.3055599,4.8092995,-2.3405628,-2.6233392,1.9174963,-0.5784584,-2.092676,0.5819395,3.009575,1.339695,1.14894,-0.6283408,3.8240407,0.3691787,0.9943645,1.1155696,1.9977174,1.3920482,-2.1655877,0.34990847,-0.39766356,-0.8461037,1.9355408,7979.81,1330.2856,1338.1599,722.292,432.88492,442.88525,297.17508,246.17084,229.00659,250.32587,184.7318,136.60727,156.8436,107.420586,104.36562,110.635254,114.093605,96.97173,104.76296,94.52167,72.67017,80.78589,68.470375,54.11333,55.37571,55.058556,50.641113,51.33411,38.887287,36.51671,38.670856,38.340996,36.307858,34.811695,36.53585,42.590042,47.999226,41.226337,30.087425,33.40101,18.43592953669648,10.969849850355557,17.658397410164635,20.448227685650753,22.24266085570164,21.535340312393153,41.09316788242844
1,-79.22862,133.05923,-13.759394,58.89268,-12.958446,24.236732,-4.575337,8.735173,-3.4633458,16.187294,-2.767218,7.904301,2.8331962,4.1596265,1.8518178,-1.5425619,6.6589203,-0.6049297,5.947996,-3.6735327,1.9193339,-0.33625767,2.1961148,-3.2353013,2.748191,-0.5599905,3.1001477,-0.1355567,-2.3777764,-0.83694416,-3.3369641,-2.1716976,-5.057274,-2.3867667,-3.6577122,-1.605824,-2.5087419,-0.9699786,-5.791816,-2.7631986,2673.0403,1047.9845,488.9697,344.2814,355.7165,244.7944,162.3241,153.74405,153.9433,142.61302,126.87725,100.54208,90.71018,78.13931,75.67363,69.23423,62.870907,63.10819,65.031105,62.682568,56.454727,55.341972,53.225243,43.840855,44.187775,47.94123,39.938877,43.589783,34.99866,36.656143,34.757317,36.146202,30.92208,30.375465,36.465977,33.34758,36.1342,36.746727,34.940155,37.68561,16.277906610055446,11.167477660574056,15.494589456091925,18.17979955961942,18.046280753036143,18.004488217449065,39.24463896116118
2,-160.30223,139.89116,3.9983544,44.797543,-6.724256,28.820164,2.741666,11.080528,4.3686147,9.471691,-1.3136709,10.255459,7.011176,5.8087544,6.2281876,6.3501387,9.875023,-2.0181856,4.647086,-3.6939983,-3.6456263,-0.48968974,6.9051757,5.248142,4.070387,-1.5985066,0.28343597,0.6764429,-1.6888572,-0.07796392,0.6309573,2.321569,-1.257871,2.4003391,4.6138597,1.9734353,-1.9532914,-3.1418426,-6.3188825,-4.116191,8827.682,1284.6497,1535.4573,871.82794,532.3005,518.60767,248.26364,230.48679,207.21635,208.72957,157.74535,172.6364,138.68735,84.28687,79.0753,106.66921,77.15406,83.00496,68.29871,59.081482,72.78228,68.59238,54.88237,117.60394,49.923058,48.100437,48.852375,46.19957,38.892242,40.689453,37.341106,38.549828,42.34894,42.70025,70.02125,42.112225,41.690357,42.52484,45.340412,47.28214,14.228887892123536,10.462040451793603,15.197246451577973,19.30813798448514,21.350669670375243,23.076459996745193,39.501458646026215
3,-114.24621,125.6278,-10.104025,45.641754,-5.37818,30.538197,-1.9644828,8.703884,5.4057674,9.906008,0.37076467,12.769948,7.0435176,6.5653777,7.364841,5.244417,9.273681,2.4838245,9.161194,-0.8212871,3.9168365,0.8993246,1.6588591,0.34615383,3.4347486,3.632806,1.5364418,-0.8500229,-0.3031567,2.096983,0.5138348,1.9317914,0.10386004,0.7974504,-0.3243914,-3.0513294,0.9783647,3.2343073,-1.1610076,0.62464494,4593.4136,1833.6083,690.8061,661.63446,546.6627,319.82568,166.4454,165.32483,195.73491,142.49886,157.5283,120.332184,114.96782,81.46041,69.42188,89.53204,76.86403,59.06608,51.187786,64.30293,55.051754,51.12412,53.99123,46.65189,55.023815,50.89725,45.777493,35.25348,39.244823,36.593155,34.927696,31.663357,31.056198,33.416985,34.110348,43.21637,35.14726,42.198708,46.447548,33.633064,17.574687050558087,11.52642108932772,15.782494378848781,18.174305658669084,18.759580492116058,20.753419762482725,39.97646531685084
4,-113.87862,128.85045,1.2347627,39.0207,-11.490276,31.862637,-8.965788,9.4942665,-2.8697643,15.058368,-5.0137024,3.570214,0.3320703,5.768103,4.102034,-0.5978838,8.129437,-0.24648865,5.058151,-2.475717,3.620588,2.4367747,4.1319757,-2.4711173,3.6990247,-0.5231564,2.7408893,-1.639944,-2.744303,-0.07675492,-2.051508,-1.1761634,-3.3722894,0.2540584,-2.1679058,-1.150663,-1.8227353,0.55686456,-3.8514218,-2.3437803,3993.5208,2016.426,699.6359,722.6289,599.62604,331.44165,225.76137,180.75348,217.79047,153.16473,173.06914,134.08151,123.50437,98.04457,76.10194,75.22179,63.590057,72.66942,60.486546,58.458313,57.70355,56.777256,55.568275,56.58101,49.030865,55.864227,48.992817,49.408802,40.53455,47.653297,41.706116,34.639698,38.88062,38.14058,42.05264,42.849247,42.196484,34.495823,42.510326,43.092472,14.243493780299188,12.93419932605538,16.872259275781367,18.69802343444338,20.77042826895313,22.91824487987361,43.78785212691449
5,-179.3234,142.997,-6.8820577,28.267254,11.23905,21.918955,-0.17146169,19.018114,1.8042978,7.7659035,0.040185563,-4.4148407,-1.2278236,1.4110346,3.8568237,-1.7229679,2.8053794,-4.166399,-1.1450796,-0.8652456,-1.881648,0.8508546,-2.0853615,-0.3873882,5.4969263,3.5219195,4.6714373,-4.5569615,-3.2247028,-4.767114,-4.0660744,0.44436052,-3.9818115,-1.0129802,-0.7092424,-1.9184238,-2.295924,2.4996347,1.7634909,2.8541775,5822.3433,1025.507,1328.4808,562.55695,528.5002,252.50194,215.99748,267.03702,182.69855,199.99303,237.11072,106.358376,119.3261,156.16064,121.9034,80.40437,98.590164,153.29054,147.70418,63.991962,68.61888,92.36105,85.31579,70.23628,62.299534,84.97164,82.19034,72.60921,45.75124,48.82576,47.169544,66.39246,48.30949,46.281574,50.076946,61.756638,71.65072,67.88784,69.68627,71.55312,16.328775363428676,11.431757633362528,17.638612111411206,22.16052617633369,20.907505138796363,27.180297257296534,42.26424302522674
6,-152.50316,128.48502,4.0500817,42.880566,-4.7719584,34.362335,-1.6753851,6.8288736,-5.533255,0.9020623,-9.520919,4.7756863,0.20265162,1.4939791,6.0126815,0.39997268,6.2764506,0.9359257,6.0670857,-2.0898845,1.7787524,-1.6343039,-0.70555,-1.0388062,1.6604147,0.42363095,5.484112,2.7059538,3.4392707,7.6458864,2.4172995,2.0365145,-1.0853261,1.1794473,-0.18296622,-0.30685568,0.6788095,0.5924019,-0.6540147,1.2557647,5258.7515,1443.3824,1333.0461,728.845,534.7321,284.89615,191.23813,190.37949,261.37314,214.81735,211.05083,166.07109,157.62598,112.08836,85.358795,88.40001,75.45263,81.13529,69.59073,77.58229,64.12557,68.07924,70.30733,68.771126,54.104,52.793762,50.56175,58.953747,78.9229,62.52491,66.30443,59.31165,60.068253,54.8514,45.6365,58.92085,59.181362,35.126495,32.519478,45.02031,17.327179705877906,11.76309345937445,18.099375986239668,18.006564850741448,19.602247055226727,22.051816296886937,44.940093042398885
7,-132.97191,134.97916,4.6890173,36.091263,-13.409174,25.508781,-7.5708847,8.352938,0.6920857,11.268545,1.13187,-0.21909359,-5.15944,8.837827,2.541903,0.2876924,6.6380672,-1.4877601,3.1102862,-4.545912,2.6340513,3.574766,6.8879967,2.7657905,4.885129,-1.4019119,1.1488013,-3.6504047,-0.12230463,2.021095,-0.7317457,2.3940053,0.17181292,2.4523764,0.68201125,0.3458869,-1.8977439,0.67332387,-4.3167315,-0.155172,3728.0015,1458.8214,1124.522,554.3182,488.29614,445.03714,248.00563,240.9016,278.33792,200.95839,189.60306,199.25438,152.76878,106.43099,135.29391,126.73621,108.167946,116.57476,84.60995,109.80319,80.77093,77.66938,75.785645,79.215355,65.73707,58.650826,67.78786,65.344284,60.524666,53.671547,44.63499,49.15946,52.807953,42.482166,41.88124,45.70365,48.60837,52.389294,53.63355,41.99271,18.000257683734855,10.3025468016992,15.861697412010907,19.207465551358876,20.420173793248658,21.659957653794883,41.62877755641148
8,-157.16267,109.561005,-5.9398327,42.105522,-7.7552357,27.949596,-2.669101,10.165619,2.6166255,5.753276,-9.708918,5.3512473,1.0349255,1.5735067,0.84431344,-2.9300394,3.0269241,-0.8292613,3.04794,-2.639743,5.8383245,3.015779,2.1833382,-5.34542,0.09754896,-0.81033003,-1.2787056,-2.589257,-0.35962063,0.60744625,-0.037432887,2.363803,-0.67554396,0.8909134,1.6836312,3.5256088,0.4595313,1.9507583,0.3740854,1.5808274,8289.157,2103.0295,950.6841,884.2521,597.4495,267.61816,214.67139,154.8328,176.01767,154.54698,166.71124,165.77959,125.26881,79.40159,87.956436,77.737564,79.89424,67.655136,57.231,68.87477,91.3097,86.32174,72.50972,71.019485,63.49836,61.32451,57.399582,51.19209,54.471897,47.23188,49.214417,48.834423,60.685867,67.682335,66.36766,53.453106,51.919823,76.13877,73.6463,38.288322,15.687160977859598,12.693202544667297,16.88203223624952,18.704051965945133,21.09581160260726,21.911023191228725,41.842651011915144
9,-222.80446,119.0651,-7.6089168,50.06064,3.1164024,23.655567,-8.787669,5.695875,-5.2825537,7.8929315,-4.7963805,6.1113734,1.516281,-2.4641025,-0.13112114,0.5676427,3.1354287,-4.6369963,5.0536,-0.33026722,2.8224823,2.9447167,2.282127,-2.3752446,4.078883,-0.40401056,-1.6250026,-2.6023853,-2.1593986,-3.649981,-5.6509585,-3.314451,-1.1270994,3.8856885,5.6378016,7.688376,6.870491,5.83206,-2.5741363,-0.35613784,6110.8784,1518.2216,1396.4747,640.20386,607.83044,331.8292,302.7827,309.39185,189.4305,188.10988,164.4999,155.24702,101.45046,85.465576,83.1491,70.01197,70.71467,64.19257,65.490875,73.25042,74.439095,68.29069,64.498405,56.83075,52.32361,45.98679,60.848274,47.357395,49.882835,50.821983,60.334892,80.04726,89.78732,99.05322,110.23749,113.21239,118.34721,92.75774,84.67479,74.570076,15.667774130144766,13.327132714447634,17.425758464729476,19.834060622255095,20.77306877822508,22.862085828469667,43.11739612734878
